GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS2765248976	2025-01-07 19:11:26.179126	7305	species	avibase-987A703D	Brandt's Cormorant	Urile penicillatus				1					Mexico	MX	Baja California Sur	MX-BCS	Loreto	MX-BCS-003		40			Puerto Loreto	L1778068	H	26.0140620	-111.3393992	1800-01-01		obsr20571		S208450293	Historical	Historical	P62							0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1731117088	2023-05-18 10:10:25.170696	33404	species	avibase-526A3692	Hooded Oriole	Icterus cucullatus				1					Mexico	MX	Baja California Sur	MX-BCS	Los Cabos	MX-BCS-004		42			Playa de Las Viudas	L5216717	H	22.9223302	-109.8244643	1800-01-01		obsr577656		S138237620	Incidental	Incidental	P20						2	0	G10259994	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1731117089	2023-05-18 10:10:25.170696	7233	species	avibase-8AA3B42E	Magnificent Frigatebird	Fregata magnificens				22	F 	C1	F 		Mexico	MX	Baja California Sur	MX-BCS	Los Cabos	MX-BCS-004		42			Playa de Las Viudas	L5216717	H	22.9223302	-109.8244643	1800-01-01		obsr577656		S138237620	Incidental	Incidental	P20						2	0	G10259994	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2761878628	2025-01-06 16:21:03.439319	33309	species	avibase-F707BD5F	Chihuahuan Meadowlark	Sturnella lilianae				1					Mexico	MX	Chihuahua	MX-CHH	Guerrero	MX-CHH-029		34			Presa Abraham Gonzalez	L5098704	H	28.4780469	-107.4746561	1800-01-01		obsr20571		S208316849	Historical	Historical	P62							0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2762084126	2025-01-06 17:42:58.889491	27792	species	avibase-624FDE60	Ocellated Thrasher	Toxostoma ocellatum				1					Mexico	MX	Hidalgo	MX-HID	Tlanchinol	MX-HID-072	BIRDLIFE_44505|MX_35	52			Tlanchinol--Senda Lontla	L2397624	H	21.0276944	-98.6426085	1800-01-01		obsr20571		S208326225	Historical	Historical	P62							0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2765243427	2025-01-07 19:09:33.623564	20987	species	avibase-0E51C3D5	Black-throated Magpie-Jay	Cyanocorax colliei				1					Mexico	MX	Jalisco	MX-JAL	Tlajomulco de Zúñiga	MX-JAL-098		47			Área de Protección de Flora y Fauna Bosque La Primavera -- Entrada Tlajomulco	L29779845	H	20.5777554	-103.5121195	1800-01-01		obsr20571		S208450163	Historical	Historical	P62							0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2761876377	2025-01-06 16:19:54.865677	21027	species	avibase-DB6DC76D	San Blas Jay	Cyanocorax sanblasianus				1					Mexico	MX	Nayarit	MX-NAY	San Blas	MX-NAY-013		43			Ecoaldea Ojo del Cielo	L4264820	H	21.5762776	-105.0601302	1800-01-01		obsr20571		S208316718	Historical	Historical	P62							0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2762101985	2025-01-06 17:50:11.84521	21026	species	avibase-97E7CC5E	Purplish-backed Jay	Cyanocorax beecheii				1					Mexico	MX	Nayarit	MX-NAY	Tepic	MX-NAY-018		43			Cascada La Taza	L6491771	H	21.6667911	-104.8519090	1800-01-01		obsr20571		S208327019	Historical	Historical	P62							0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1663689921	2025-03-06 12:29:11.378961	31592	species	avibase-319D044A	Red-throated Pipit	Anthus cervinus				1					Mexico	MX	Baja California Sur	MX-BCS	Los Cabos	MX-BCS-004		42			Reserva Ecológica Estero de San José del Cabo	L277480	H	23.0504835	-109.6878944	1883-01-26		obsr939641		S131662375	Historical	Historical	P62							0		0	1	1		Bent, Arthur Cleveland, 1950. Life Histories of North American Wagtails, Shrikes, Vireos, and their Allies. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world [Note to reviewers: if you will not accept this record without more information then mark it unconfirmed. Contact me if you think I made a mistake in date or location.]	Specimen collected. Ridgway, R. 1883. Anthus cervinus (Pallas) in Lower California. Proc. U.S. Nat. Mus., vol. 6, pp. 156-157.	
URN:CornellLabOfOrnithology:EBIRD:OBS1927712573	2024-02-06 23:44:31.876273	21046	species	avibase-2225D685	Steller's Jay	Cyanocitta stelleri				2					Mexico	MX	Baja California	MX-BCN	Tecate	MX-BCN-004		32			Parque Vallecitos	L28841293	H	32.2628637	-116.5351156	1885-05-11		obsr4667257		S159238643	Historical	Historical	P62							0		0	1	1			two of four specimens collected in northwestern Baja California 10-16 May 1885, the only known records for the state;  NAB 66: 594	
URN:CornellLabOfOrnithology:EBIRD:OBS1893217203	2023-12-09 07:08:51.64506	26901	species	avibase-76DF73A9	Rock Wren	Salpinctes obsoletus				X					Mexico	MX	Baja California	MX-BCN	Ensenada	MX-BCN-001	BIRDLIFE_10141|MX_141	63			Reserva de La Biosfera Isla Guadalupe (pls. use more precise loc.)	L221556	H	29.0614182	-118.2947731	1885-12-25		obsr939641		S155994893	Historical	Historical	P62							0		0	1	0		Bent, Arthur Cleveland, 1948. Life Histories of North American Nuthatches Wrens Thrashers, and their Allies. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world [Note to reviewers: if you will not accept this record without more information then mark it unconfirmed. Contact me if you think I made a mistake in date or location.]	Breeding. Bryant, W.E. 1887. Additions to the ornithology of Guadalupe Island. Bull. California Acad. Sci., vol. 2, pp. 269-318.	
